Date,Open,High,Low,Close,Adj Close,Volume
2023-05-29,4400.000000,4550.000000,4380.000000,4550.000000,4397.380371,26644200
2023-05-30,4550.000000,4600.000000,4510.000000,4540.000000,4387.715820,14103700
2023-05-31,4540.000000,4580.000000,4500.000000,4530.000000,4378.051270,221662700
2023-06-05,4530.000000,4550.000000,4460.000000,4500.000000,4349.057617,14140400
2023-06-06,4500.000000,4510.000000,4440.000000,4460.000000,4310.399414,6400200
2023-06-07,4470.000000,4570.000000,4460.000000,4570.000000,4416.709961,30637600
2023-06-08,4570.000000,4630.000000,4540.000000,4600.000000,4445.703125,15742600
2023-06-09,4580.000000,4600.000000,4540.000000,4550.000000,4397.380371,11332500
2023-06-12,4590.000000,4610.000000,4560.000000,4610.000000,4455.367676,8165300
2023-06-13,4610.000000,4630.000000,4480.000000,4510.000000,4358.722168,19167100
2023-06-14,4500.000000,4510.000000,4410.000000,4440.000000,4291.069824,13107000
2023-06-15,4440.000000,4520.000000,4410.000000,4520.000000,4368.386230,10369100
2023-06-16,4500.000000,4500.000000,4390.000000,4390.000000,4242.747070,17780000
2023-06-19,4390.000000,4420.000000,4320.000000,4380.000000,4233.083008,10327500
2023-06-20,4380.000000,4390.000000,4300.000000,4300.000000,4155.766113,14414700
2023-06-21,4300.000000,4370.000000,4300.000000,4360.000000,4213.753418,11124900
2023-06-22,4370.000000,4370.000000,4250.000000,4250.000000,4107.442871,15969700
2023-06-23,4250.000000,4290.000000,4210.000000,4270.000000,4126.772461,7696300
2023-06-26,4270.000000,4270.000000,4230.000000,4230.000000,4088.114014,6553900
2023-06-27,4230.000000,4280.000000,4230.000000,4260.000000,4117.107910,10533700
2023-07-03,4250.000000,4310.000000,4210.000000,4310.000000,4165.430664,11030200
2023-07-04,4320.000000,4340.000000,4300.000000,4330.000000,4184.759766,3652500
2023-07-05,4330.000000,4330.000000,4280.000000,4310.000000,4165.430664,6305600
2023-07-06,4260.000000,4290.000000,4220.000000,4250.000000,4176.239746,12604100
2023-07-07,4230.000000,4240.000000,4210.000000,4240.000000,4166.413086,6160700
2023-07-10,4240.000000,4320.000000,4240.000000,4250.000000,4176.239746,7747800
2023-07-11,4260.000000,4280.000000,4240.000000,4250.000000,4176.239746,4794700
2023-07-12,4250.000000,4260.000000,4200.000000,4210.000000,4136.934082,16641400
2023-07-13,4220.000000,4250.000000,4210.000000,4250.000000,4176.239746,6041000
2023-07-14,4250.000000,4290.000000,4230.000000,4250.000000,4176.239746,10570200
2023-07-17,4260.000000,4290.000000,4250.000000,4270.000000,4195.892578,9589000
2023-07-18,4270.000000,4300.000000,4230.000000,4270.000000,4195.892578,4258600
2023-07-20,4260.000000,4270.000000,4210.000000,4220.000000,4146.760254,8607100
2023-07-21,4220.000000,4290.000000,4220.000000,4290.000000,4215.545410,6015200
2023-07-24,4290.000000,4340.000000,4270.000000,4290.000000,4215.545410,8770000
2023-07-25,4190.000000,4190.000000,4020.000000,4050.000000,3979.710693,49204900
2023-07-26,4050.000000,4070.000000,3950.000000,3970.000000,3901.099121,37401200
2023-07-27,3970.000000,4000.000000,3840.000000,3840.000000,3773.355225,40562400
2023-07-28,3850.000000,3900.000000,3810.000000,3870.000000,3802.834717,20221700
2023-07-31,3870.000000,3890.000000,3830.000000,3850.000000,3783.181885,19175000
2023-08-01,3830.000000,3850.000000,3770.000000,3770.000000,3704.570313,20623500
2023-08-02,3770.000000,3800.000000,3680.000000,3690.000000,3625.958740,28813900
2023-08-03,3690.000000,3830.000000,3670.000000,3770.000000,3704.570313,26351700
2023-08-04,3780.000000,3810.000000,3730.000000,3740.000000,3675.090820,18183400
2023-08-07,3740.000000,3770.000000,3720.000000,3720.000000,3655.437988,7680200
2023-08-08,3730.000000,3790.000000,3730.000000,3750.000000,3684.917236,10061700
2023-08-09,3750.000000,3770.000000,3720.000000,3720.000000,3655.437988,13411000
2023-08-10,3720.000000,3730.000000,3680.000000,3680.000000,3616.132080,13438900
2023-08-11,3680.000000,3720.000000,3680.000000,3700.000000,3635.785156,7702800
2023-08-14,3700.000000,3730.000000,3630.000000,3730.000000,3665.264404,13589300
2023-08-15,3750.000000,3750.000000,3690.000000,3730.000000,3665.264404,9907900
2023-08-16,3730.000000,3730.000000,3680.000000,3730.000000,3665.264404,5265200
2023-08-18,3680.000000,3720.000000,3680.000000,3690.000000,3625.958740,10416200
2023-08-21,3700.000000,3730.000000,3690.000000,3710.000000,3645.611572,6141700
2023-08-22,3710.000000,3720.000000,3700.000000,3710.000000,3645.611572,5435600
2023-08-23,3710.000000,3780.000000,3700.000000,3750.000000,3684.917236,9837500
2023-08-24,3750.000000,3760.000000,3720.000000,3720.000000,3655.437988,6318100
2023-08-25,3720.000000,3760.000000,3700.000000,3760.000000,3694.743652,5639900
2023-08-28,3790.000000,3800.000000,3760.000000,3780.000000,3714.396729,4538300
2023-08-29,3780.000000,3800.000000,3760.000000,3760.000000,3694.743652,4023200
2023-08-30,3790.000000,3790.000000,3740.000000,3740.000000,3675.090820,6862300
2023-08-31,3740.000000,3760.000000,3670.000000,3670.000000,3606.305664,17604900
2023-09-01,3670.000000,3720.000000,3630.000000,3660.000000,3596.479248,14230900
2023-09-04,3670.000000,3690.000000,3660.000000,3660.000000,3596.479248,4215000
2023-09-05,3660.000000,3670.000000,3600.000000,3620.000000,3557.173584,13723200
2023-09-06,3620.000000,3680.000000,3600.000000,3650.000000,3586.652832,9878900
2023-09-07,3660.000000,3670.000000,3600.000000,3630.000000,3567.000000,13672200
2023-09-08,3630.000000,3630.000000,3570.000000,3610.000000,3547.347168,13784500
2023-09-11,3610.000000,3650.000000,3580.000000,3650.000000,3586.652832,7703500
2023-09-12,3650.000000,3660.000000,3610.000000,3620.000000,3557.173584,6763100
2023-09-13,3630.000000,3630.000000,3570.000000,3590.000000,3527.694092,7890700
2023-09-14,3580.000000,3610.000000,3560.000000,3560.000000,3498.214844,7980500
2023-09-15,3550.000000,3570.000000,3500.000000,3500.000000,3439.256104,19503200
2023-09-18,3500.000000,3520.000000,3460.000000,3470.000000,3409.776855,11035100
2023-09-19,3490.000000,3630.000000,3480.000000,3580.000000,3517.867676,10301100
2023-09-20,3580.000000,3670.000000,3570.000000,3630.000000,3567.000000,12091400
2023-09-21,3630.000000,3780.000000,3580.000000,3770.000000,3704.570313,24626400
2023-09-22,3770.000000,3890.000000,3750.000000,3850.000000,3783.181885,24114800
2023-09-25,3860.000000,3890.000000,3790.000000,3820.000000,3753.702393,10923700
2023-09-26,3800.000000,3820.000000,3770.000000,3820.000000,3753.702393,11435500
2023-09-27,3820.000000,3820.000000,3720.000000,3770.000000,3704.570313,9958600
2023-09-29,3770.000000,3780.000000,3690.000000,3740.000000,3675.090820,10670700
2023-10-02,3740.000000,3780.000000,3700.000000,3700.000000,3635.785156,7916700
2023-10-03,3700.000000,3700.000000,3590.000000,3590.000000,3527.694092,19196000
2023-10-04,3590.000000,3610.000000,3540.000000,3580.000000,3517.867676,9896800
2023-10-05,3610.000000,3680.000000,3580.000000,3660.000000,3596.479248,12777300
2023-10-06,3680.000000,3840.000000,3670.000000,3800.000000,3734.049561,23551700
2023-10-09,3800.000000,3800.000000,3700.000000,3720.000000,3655.437988,8305700
2023-10-10,3720.000000,3750.000000,3670.000000,3670.000000,3606.305664,3722500
2023-10-11,3670.000000,3710.000000,3610.000000,3610.000000,3547.347168,12320900
2023-10-12,3620.000000,3670.000000,3610.000000,3630.000000,3567.000000,10447600
2023-10-13,3610.000000,3660.000000,3610.000000,3650.000000,3586.652832,5584300
2023-10-16,3660.000000,3670.000000,3620.000000,3650.000000,3586.652832,4544700
2023-10-17,3650.000000,3840.000000,3630.000000,3830.000000,3763.528809,21600800
2023-10-18,3830.000000,3840.000000,3760.000000,3820.000000,3753.702393,8686200
2023-10-19,3800.000000,3850.000000,3770.000000,3810.000000,3743.875977,8884300
2023-10-20,3810.000000,3880.000000,3730.000000,3860.000000,3793.008301,13601000
2023-10-23,3860.000000,3860.000000,3760.000000,3840.000000,3773.355225,7703300
2023-10-24,3830.000000,4000.000000,3790.000000,3990.000000,3920.751953,29824500
2023-10-25,4000.000000,4100.000000,4000.000000,4080.000000,4009.189941,27547000
2023-10-26,4050.000000,4050.000000,3960.000000,3980.000000,3910.925537,19249700
2023-10-27,3980.000000,4070.000000,3950.000000,3980.000000,3910.925537,19668800
2023-10-30,3970.000000,3970.000000,3720.000000,3790.000000,3724.223145,26309000
2023-10-31,3790.000000,3820.000000,3620.000000,3620.000000,3557.173584,26496500
2023-11-01,3600.000000,3650.000000,3550.000000,3580.000000,3517.867676,22592200
2023-11-02,3600.000000,3670.000000,3570.000000,3590.000000,3527.694092,20934700
2023-11-03,3590.000000,3610.000000,3520.000000,3550.000000,3488.388428,17879200
2023-11-06,3550.000000,3630.000000,3550.000000,3620.000000,3557.173584,11111200
2023-11-07,3620.000000,3620.000000,3550.000000,3570.000000,3508.041260,10356800
2023-11-08,3560.000000,3600.000000,3560.000000,3600.000000,3537.520508,6267300
2023-11-09,3600.000000,3600.000000,3580.000000,3600.000000,3537.520508,4264700
2023-11-10,3600.000000,3600.000000,3550.000000,3590.000000,3527.694092,4501100
2023-11-13,3590.000000,3590.000000,3510.000000,3530.000000,3468.735596,9074200
2023-11-14,3510.000000,3520.000000,3470.000000,3480.000000,3419.603271,13579700
2023-11-15,3500.000000,3530.000000,3410.000000,3430.000000,3370.470947,30575200
2023-11-16,3440.000000,3460.000000,3420.000000,3460.000000,3399.950439,7704400
2023-11-17,3470.000000,3470.000000,3420.000000,3470.000000,3409.776855,13562900
2023-11-20,3470.000000,3470.000000,3420.000000,3460.000000,3399.950439,4352900
2023-11-21,3460.000000,3490.000000,3430.000000,3480.000000,3419.603271,11470300
2023-11-22,3480.000000,3520.000000,3450.000000,3500.000000,3439.256104,16968700
2023-11-23,3510.000000,3580.000000,3500.000000,3540.000000,3478.562012,16669800
2023-11-24,3550.000000,3580.000000,3520.000000,3530.000000,3468.735596,4341700
2023-11-27,3530.000000,3550.000000,3500.000000,3520.000000,3458.908936,11935500
2023-11-28,3520.000000,3640.000000,3520.000000,3600.000000,3537.520508,13638400
2023-11-29,3600.000000,3640.000000,3560.000000,3630.000000,3567.000000,9785100
2023-11-30,3630.000000,3650.000000,3570.000000,3650.000000,3586.652832,40876300
2023-12-01,3600.000000,3700.000000,3590.000000,3630.000000,3567.000000,11652900
2023-12-04,3640.000000,3670.000000,3550.000000,3630.000000,3567.000000,17107000
2023-12-05,3590.000000,3620.000000,3570.000000,3620.000000,3620.000000,14546100
2023-12-06,3620.000000,3630.000000,3500.000000,3510.000000,3510.000000,16666500
2023-12-07,3510.000000,3570.000000,3500.000000,3570.000000,3570.000000,7254400
2023-12-08,3570.000000,3570.000000,3490.000000,3510.000000,3510.000000,10274300
2023-12-11,3500.000000,3510.000000,3470.000000,3500.000000,3500.000000,7700700
2023-12-12,3500.000000,3510.000000,3420.000000,3430.000000,3430.000000,11409300
2023-12-13,3430.000000,3460.000000,3400.000000,3450.000000,3450.000000,5871300
2023-12-14,3450.000000,3450.000000,3400.000000,3400.000000,3400.000000,6953500
2023-12-15,3400.000000,3500.000000,3330.000000,3500.000000,3500.000000,24909000
2023-12-18,3480.000000,3480.000000,3380.000000,3410.000000,3410.000000,10582500
2023-12-19,3410.000000,3440.000000,3380.000000,3430.000000,3430.000000,4909700
2023-12-20,3430.000000,3520.000000,3420.000000,3460.000000,3460.000000,15667400
2023-12-21,3470.000000,3480.000000,3440.000000,3470.000000,3470.000000,4497500
2023-12-22,3470.000000,3490.000000,3440.000000,3470.000000,3470.000000,6665700
2023-12-27,3470.000000,3520.000000,3450.000000,3470.000000,3470.000000,7000200
2023-12-28,3500.000000,3570.000000,3500.000000,3540.000000,3540.000000,12314500
2023-12-29,3540.000000,3550.000000,3500.000000,3530.000000,3530.000000,6004400
2024-01-02,3530.000000,3550.000000,3500.000000,3550.000000,3550.000000,5999200
2024-01-03,3550.000000,3560.000000,3520.000000,3530.000000,3530.000000,3253600
2024-01-04,3530.000000,3560.000000,3520.000000,3520.000000,3520.000000,4485500
2024-01-05,3540.000000,3580.000000,3520.000000,3520.000000,3520.000000,7584800
2024-01-08,3530.000000,3560.000000,3470.000000,3480.000000,3480.000000,7215700
2024-01-09,3480.000000,3490.000000,3420.000000,3430.000000,3430.000000,6680700
2024-01-10,3430.000000,3480.000000,3410.000000,3410.000000,3410.000000,12276500
2024-01-11,3450.000000,3450.000000,3410.000000,3410.000000,3410.000000,1810300
2024-01-12,3430.000000,3480.000000,3410.000000,3470.000000,3470.000000,8747800
2024-01-15,3470.000000,3480.000000,3430.000000,3430.000000,3430.000000,7943000
2024-01-16,3430.000000,3470.000000,3410.000000,3410.000000,3410.000000,5862800
2024-01-17,3440.000000,3440.000000,3310.000000,3320.000000,3320.000000,30689000
2024-01-18,3330.000000,3340.000000,3290.000000,3300.000000,3300.000000,14864200
2024-01-19,3300.000000,3300.000000,3210.000000,3240.000000,3240.000000,15821600
2024-01-22,3220.000000,3240.000000,3120.000000,3120.000000,3120.000000,22069700
2024-01-23,3140.000000,3200.000000,3130.000000,3180.000000,3180.000000,17207800
2024-01-24,3180.000000,3220.000000,3150.000000,3200.000000,3200.000000,8517800
2024-01-25,3190.000000,3200.000000,3150.000000,3160.000000,3160.000000,11169800
2024-01-26,3160.000000,3170.000000,3130.000000,3160.000000,3160.000000,5350200
2024-01-29,3160.000000,3160.000000,3070.000000,3080.000000,3080.000000,13848500
2024-01-30,3080.000000,3130.000000,3010.000000,3130.000000,3130.000000,26092800
2024-01-31,3130.000000,3150.000000,3100.000000,3100.000000,3100.000000,18463900
